[2022-01-07 01:24:36] - 𝖙𝖈𝖌𝖒𝖎𝖑𝖆𝖓#4690 lefuttatta ezt a parancsot: ping
[2022-01-07 01:24:36] - Szerver lefuttatta ezt a parancsot: mc_log
[2022-01-07 01:24:38] - Szerver lefuttatta ezt a parancsot: mc_log
[2022-01-07 01:24:40] - Szerver lefuttatta ezt a parancsot: mc_log
[2022-01-07 01:24:42] - Szerver lefuttatta ezt a parancsot: mc_log
[2022-01-07 01:24:44] - Szerver lefuttatta ezt a parancsot: mc_log
[2022-01-07 01:24:46] - Szerver lefuttatta ezt a parancsot: mc_log
[2022-01-07 01:24:48] - Szerver lefuttatta ezt a parancsot: mc_log
[2022-01-07 01:24:50] - Szerver lefuttatta ezt a parancsot: mc_log
[2022-01-07 01:24:53] - Szerver lefuttatta ezt a parancsot: mc_log
[2022-01-07 01:24:54] - Szerver lefuttatta ezt a parancsot: mc_log
[2022-01-07 01:24:56] - Szerver lefuttatta ezt a parancsot: mc_log
[2022-01-07 01:24:58] - Szerver lefuttatta ezt a parancsot: mc_log
[2022-01-07 01:25:00] - Szerver lefuttatta ezt a parancsot: mc_log
[2022-01-07 01:25:02] - Szerver lefuttatta ezt a parancsot: mc_log
[2022-01-07 01:25:04] - Szerver lefuttatta ezt a parancsot: mc_log
[2022-01-07 01:25:06] - Szerver lefuttatta ezt a parancsot: mc_log
[2022-01-07 01:25:08] - Szerver lefuttatta ezt a parancsot: mc_log
[2022-01-07 01:25:10] - Szerver lefuttatta ezt a parancsot: mc_log
[2022-01-07 01:25:12] - Szerver lefuttatta ezt a parancsot: mc_log
[2022-01-07 01:25:14] - Szerver lefuttatta ezt a parancsot: mc_log
[2022-01-07 01:25:16] - Szerver lefuttatta ezt a parancsot: mc_log
[2022-01-07 01:25:18] - Szerver lefuttatta ezt a parancsot: mc_log
